geo,country,year,education,fertility,population
vnm,Vietnam,1971,2.7,6.07,42449276.0
vut,Vanuatu,1971,1.6,6.29,88862.0
wsm,Samoa,1971,4.5,7.22,142503.0
yem,Yemen,1971,0.1,8.26,7257462.0
zaf,South Africa,1971,2.7,5.57,22942143.0
zmb,Zambia,1971,1.2,7.26,4442525.0
zwe,Zimbabwe,1971,1.5,6.94,5374712.0
afg,Afghanistan,1972,0.1,7.45,11853696.0
ago,Angola,1972,0.5,7.49,6174262.0
alb,Albania,1972,4.1,4.98,2289265.0
are,UAE,1972,1.7,6.5,385014.0
arg,Argentina,1972,5.7,3.14,24644328.0
arm,Armenia,1972,6.2,3.2,2577079.0
atg,Antigua and Barbuda,1972,7.2,3.29,64615.0
aus,Australia,1972,8.6,2.74,13304896.0
aut,Austria,1972,7.4,2.08,7543259.0
aze,Azerbaijan,1972,4.8,4.59,5380917.0
bdi,Burundi,1972,0.3,7.21,3617128.0
bel,Belgium,1972,6.9,2.09,9694853.0
ben,Benin,1972,0.2,6.8,3207543.0
bfa,Burkina Faso,1972,0.1,6.72,5807234.0
bgd,Bangladesh,1972,0.6,6.82,71641519.0
bgr,Bulgaria,1972,6.7,2.04,8579913.0
bhr,Bahrain,1972,1.3,6.14,242113.0
bhs,Bahamas,1972,6.4,3.89,196055.0
bih,Bosnia and Herzegovina,1972,2.3,2.67,3848271.0
blr,Belarus,1972,6.6,2.28,9144633.0
blz,Belize,1972,4.0,6.28,124676.0
bol,Bolivia,1972,1.9,5.89,4800978.0
bra,Brazil,1972,2.3,4.74,100146797.0
bwa,Botswana,1972,1.2,6.56,622407.0
caf,Central African Republic,1972,0.3,5.96,2183769.0
can,Canada,1972,9.1,1.94,22230880.0
che,Switzerland,1972,7.8,1.91,6261081.0
chl,Chile,1972,5.5,3.53,10174678.0
chn,China,1972,1.4,5.11,863677814.0
civ,Cote d'Ivoire,1972,0.3,7.94,5909716.0
cmr,Cameroon,1972,0.7,6.29,6806872.0
cod,"Congo, Dem. Rep.",1972,0.7,6.37,21251160.0
cog,"Congo, Rep.",1972,0.8,6.44,1486468.0
col,Colombia,1972,3.4,4.86,21819563.0
com,Comoros,1972,0.3,7.14,260077.0
cpv,Cape Verde,1972,0.5,6.89,297386.0
cri,Costa Rica,1972,4.2,4.16,1938248.0
